"codice";"descrizione";"prezzo";"punti"
"3083680045087";FAGIOLI ROSSI Gr160x3BONDUEL.;2.79;0.13950000000000000000
"3083680058933";MAIS Gr150x3+1BONDUELLE;4.19;0.20950000000000000000
"3083680510097";MINESTR.RICCO/PASS.GR.750BOND;2.89;0.14450000000000000000
"3083680915922";MAIS/PISELLI170X3BONDUELLE;2.89;0.14450000000000000000
"3083680918244";FAGIOLINI EXTRA FINI GR.450BO;2.19;0.10950000000000000000
"3083680978170";PISELLI E CAROTINE GR.450BOND;2.19;0.10950000000000000000
"3083680996082";MAIS BIO Gr150x2BONDUELLE;3.09;0.15450000000000000000
"3083681001495";PISELLI MEDI Gr425BONDUELLE;1.19;0.05950000000000000000
"3083681002621";SPINACI MILLEFOGLIE GR.750BON;2.99;0.14950000000000000000
"3083681003901";FAGIOLI CANN.C/VAP.Gr425BONDU;1.19;0.05950000000000000000
"3083681003925";FAGIOLI BORL.C/VAP.Gr425BONDU;1.19;0.05950000000000000000
"3083681003949";CECI A VAPORE GR.425BONDUELLE;1.19;0.05950000000000000000
"3083681003963";LENTICCHIE C/V Gr425BONDUELLE;1.19;0.05950000000000000000
"3083681014051";MAIS/OLIVE/PEP.GR.170X3BONDUE;2.89;0.14450000000000000000
"3083681019421";FAGIOLINI E PATATE GR.450BOND;2.09;0.10450000000000000000
"3083681024869";MINESTRONE CLASSICO KG.1BONDU;3.29;0.16450000000000000000
"3083681032222";TRIS DI CAVOLI GR.450BONDUELL;3.09;0.15450000000000000000
"3083681067798";MELENZ.E ZUCC.GRIGL.Gr450BOND;3.29;0.16450000000000000000
"3083681068184";"MAIS SWEET""IL TOCCO""Gr80x2BOND";1.49;0.07450000000000000000
"3083681116274";COCCOLE SPIN/FAG/BROC.GR.300B;3.29;0.16450000000000000000
"3083681122992";COCCOLE FALAFEL GR.180BONDUEL;3.29;0.16450000000000000000
"3083681126525";FAG/CAR/PIS/PAT.GR.450NATURA;2.99;0.14950000000000000000
"3083681128215";SPINACI SENZA PESTIC.GR.600BO;2.89;0.14450000000000000000
"3083681128246";FAGIOLINI SENZA PESTIC.GR.450;2.09;0.10450000000000000000
"3083681128277";PISELLI TENEREZZA GR.600S/R/P;2.99;0.14950000000000000000
"3083681143850";ZUCCH/PEPER/PATA.GR.450NATURA;2.99;0.14950000000000000000
"3083681145564";PISELLI E CAROTINE Gr425BOND.;1.59;0.07950000000000000000
"3086123437456";RASOIO PURE3x6+2BIC FEMM.  .;3.19;0.15950000000000000000
"3086123489158";RASOIO TWIN LADY8+2BIC     .;2.69;0.13450000000000000000
"3086123492868";RASOIO FLEX5x3BIC;5.99;0.29950000000000000000
"3086125705126";RASOIO x10MONOLAMA BIC      .;1.79;0.08950000000000000000
"3086126692630";RASOIO SENSITIVE x6+2BIC3.;3.39;0.16950000000000000000
"3086128994138";RASOIO x10BILAMA BIC;2.59;0.12950000000000000000
"3090291116051";CAMOSCIO D'ORO7FETTE GR.150;3.29;0.16450000000000000000
"3099999002345";CONTENIT.LATTA X OLIO LT5C\T;3.30;0.16500000000000000000
"3103220009321";CARAM.HAPPY COLA Gr175HARIBO.;1.49;0.07450000000000000000
"3103220009413";CARAM.COCCODRI'Gr175HARIBO;1.49;0.07450000000000000000
"3103220009420";CARAM.POLKA Gr175HARIBO     .;1.69;0.08450000000000000000
"3103220009444";CARAM.ROTELLA Gr175HARIBO   .;1.69;0.08450000000000000000
"3103220035443";CARAM.ORSETTI D'ORO GR175HAR;1.69;0.08450000000000000000
"3103220059760";CARAM.DARK MIX Gr175HARIBO;1.69;0.08450000000000000000
